epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,37.1722,1.86542,3.57641,1.8312,0.17854,0.22101,0.17093,0.08102,1.80006,3.88256,1.83799,0.000219202,0.000219202,0.000219202
2,72.6039,1.82586,2.28496,1.78105,0.72611,0.29694,0.32394,0.14333,2.06846,2.51564,2.06757,0.000426965,0.000426965,0.000426965
3,109.108,1.81627,1.86772,1.74764,0.50795,0.36407,0.35239,0.1601,2.04547,2.17826,2.08144,0.000620053,0.000620053,0.000620053
4,143.707,1.77618,1.72657,1.7127,0.5468,0.44291,0.43753,0.19713,1.95518,1.96175,2.04429,0.000600967,0.000600967,0.000600967
5,177.124,1.74763,1.60821,1.68799,0.84175,0.37671,0.44319,0.21079,1.9066,1.86131,2.00095,0.000578956,0.000578956,0.000578956
6,210.708,1.71109,1.55299,1.67977,0.5503,0.44673,0.44702,0.21355,1.92389,1.70851,1.98482,0.000556945,0.000556945,0.000556945
7,244.36,1.70201,1.507,1.65019,0.81929,0.4026,0.46411,0.21822,1.90074,1.72232,1.95987,0.000534934,0.000534934,0.000534934
8,278.582,1.66085,1.42551,1.62562,0.54266,0.44798,0.47523,0.22021,1.89374,1.6133,1.96327,0.000512923,0.000512923,0.000512923
9,313.215,1.6423,1.41071,1.62534,0.63139,0.48789,0.49898,0.2359,1.84638,1.57055,1.9149,0.000490912,0.000490912,0.000490912
10,346.62,1.63001,1.3688,1.6022,0.59695,0.5013,0.52091,0.24978,1.82352,1.50279,1.92087,0.000468901,0.000468901,0.000468901
11,380.423,1.61968,1.33203,1.58812,0.60235,0.48464,0.51294,0.23724,1.85847,1.50055,1.92188,0.00044689,0.00044689,0.00044689
12,414.751,1.60793,1.31016,1.59218,0.6942,0.50949,0.51954,0.24298,1.83245,1.47893,1.88522,0.000424879,0.000424879,0.000424879
13,449.397,1.60409,1.31374,1.58728,0.62877,0.41043,0.43273,0.20949,2.01982,1.52385,2.08806,0.000402868,0.000402868,0.000402868
14,483.901,1.58591,1.2742,1.56979,0.72292,0.49714,0.53602,0.2552,1.81994,1.40465,1.90839,0.000380857,0.000380857,0.000380857
15,519.091,1.57033,1.23185,1.55619,0.58367,0.51781,0.50945,0.24398,1.81464,1.42141,1.88119,0.000358846,0.000358846,0.000358846
16,553.332,1.55133,1.20949,1.54698,0.68053,0.51621,0.54787,0.25985,1.80701,1.35929,1.8764,0.000336835,0.000336835,0.000336835
17,587.697,1.56401,1.19813,1.54593,0.6126,0.48602,0.52313,0.25372,1.8193,1.35813,1.90443,0.000314824,0.000314824,0.000314824
18,623.095,1.54576,1.19316,1.5351,0.49513,0.55718,0.55992,0.27457,1.77068,1.32083,1.86017,0.000292813,0.000292813,0.000292813
19,658.569,1.51078,1.14422,1.50715,0.62028,0.5344,0.55142,0.26887,1.79503,1.29725,1.85775,0.000270802,0.000270802,0.000270802
20,693.583,1.51664,1.13268,1.51046,0.61327,0.52294,0.54033,0.2638,1.81246,1.31481,1.86868,0.000248791,0.000248791,0.000248791
21,729.26,1.49419,1.11305,1.50853,0.63876,0.51791,0.54317,0.26339,1.78815,1.29553,1.85547,0.00022678,0.00022678,0.00022678
22,763.485,1.50002,1.12816,1.51782,0.6476,0.53365,0.55872,0.2739,1.77265,1.27518,1.84087,0.000204769,0.000204769,0.000204769
23,798.162,1.48871,1.1039,1.51212,0.66235,0.5314,0.56792,0.27536,1.76267,1.26296,1.84453,0.000182758,0.000182758,0.000182758
24,832.36,1.48695,1.08147,1.48685,0.649,0.54172,0.5588,0.27959,1.75662,1.2458,1.83805,0.000160747,0.000160747,0.000160747
25,866.447,1.47519,1.07118,1.48839,0.68474,0.54021,0.57212,0.28387,1.7488,1.20908,1.83584,0.000138736,0.000138736,0.000138736
26,898.991,1.48416,1.10356,1.58681,0.64358,0.53953,0.56238,0.2765,1.76776,1.23992,1.84869,0.000116725,0.000116725,0.000116725
27,932.038,1.44938,1.04029,1.5334,0.75902,0.54296,0.58549,0.28313,1.7652,1.22719,1.85357,9.4714e-05,9.4714e-05,9.4714e-05
28,964.942,1.43205,1.02358,1.53469,0.68667,0.56636,0.5807,0.286,1.74347,1.21876,1.83173,7.2703e-05,7.2703e-05,7.2703e-05
29,998.879,1.41723,1.00825,1.54078,0.66333,0.56041,0.57934,0.28767,1.74387,1.21099,1.83539,5.0692e-05,5.0692e-05,5.0692e-05
30,1032.94,1.4087,0.9876,1.52141,0.71346,0.55897,0.5882,0.28931,1.74617,1.19902,1.82895,2.8681e-05,2.8681e-05,2.8681e-05
